volatile acidity,alcohol,citric acid,free sulfur dioxide,pH,quality white
0.21 g(acetic acid)/dm^3,12.3 % vol.,0.24 g/dm^3,17.0 mg/dm^3,3.15 ,True
0.22 g(acetic acid)/dm^3,9.0 % vol.,0.22 g/dm^3,39.0 mg/dm^3,3.24 ,False
0.21 g(acetic acid)/dm^3,10.6 % vol.,0.37 g/dm^3,58.0 mg/dm^3,3.29 ,False
0.32 g(acetic acid)/dm^3,12.5 % vol.,0.32 g/dm^3,31.0 mg/dm^3,3.12 ,False
0.19 g(acetic acid)/dm^3,10.2 % vol.,0.31 g/dm^3,37.0 mg/dm^3,3.34 ,True
0.21 g(acetic acid)/dm^3,9.1 % vol.,0.44 g/dm^3,47.0 mg/dm^3,3.24 ,False
0.595 g(acetic acid)/dm^3,9.3 % vol.,0.41 g/dm^3,30.0 mg/dm^3,3.27 ,False
0.785 g(acetic acid)/dm^3,10.7 % vol.,0.0 g/dm^3,14.0 mg/dm^3,3.52 ,False
0.38 g(acetic acid)/dm^3,9.4 % vol.,0.48 g/dm^3,5.0 mg/dm^3,3.3 ,False
0.21 g(acetic acid)/dm^3,10.5 % vol.,0.19 g/dm^3,51.0 mg/dm^3,3.22 ,False
0.33 g(acetic acid)/dm^3,9.9 % vol.,0.0 g/dm^3,34.0 mg/dm^3,3.35 ,False
0.28 g(acetic acid)/dm^3,12.8 % vol.,0.43 g/dm^3,21.0 mg/dm^3,3.19 ,False
0.28 g(acetic acid)/dm^3,10.5 % vol.,0.56 g/dm^3,35.0 mg/dm^3,3.3 ,False
0.15 g(acetic acid)/dm^3,12.1 % vol.,0.32 g/dm^3,59.0 mg/dm^3,3.19 ,True
0.26 g(acetic acid)/dm^3,11.4 % vol.,0.29 g/dm^3,35.0 mg/dm^3,3.36 ,True
0.28 g(acetic acid)/dm^3,10.0 % vol.,0.49 g/dm^3,32.0 mg/dm^3,3.13 ,False
0.18 g(acetic acid)/dm^3,12.7 % vol.,0.37 g/dm^3,36.0 mg/dm^3,2.89 ,False
0.49 g(acetic acid)/dm^3,10.5 % vol.,0.2 g/dm^3,8.0 mg/dm^3,3.21 ,False
0.32 g(acetic acid)/dm^3,8.9 % vol.,0.62 g/dm^3,56.0 mg/dm^3,3.13 ,False
0.18 g(acetic acid)/dm^3,10.2 % vol.,0.35 g/dm^3,49.0 mg/dm^3,3.43 ,True
0.27 g(acetic acid)/dm^3,12.6 % vol.,0.19 g/dm^3,24.0 mg/dm^3,3.32 ,True
0.3 g(acetic acid)/dm^3,11.0 % vol.,0.23 g/dm^3,42.0 mg/dm^3,3.15 ,False
0.29 g(acetic acid)/dm^3,10.9 % vol.,0.33 g/dm^3,28.0 mg/dm^3,2.96 ,True
0.2 g(acetic acid)/dm^3,12.1 % vol.,0.28 g/dm^3,24.0 mg/dm^3,3.36 ,False
0.33 g(acetic acid)/dm^3,9.7 % vol.,0.34 g/dm^3,14.0 mg/dm^3,3.13 ,False
0.29 g(acetic acid)/dm^3,8.9 % vol.,0.67 g/dm^3,53.0 mg/dm^3,2.9 ,False
0.49 g(acetic acid)/dm^3,12.0 % vol.,0.24 g/dm^3,34.0 mg/dm^3,3.13 ,True
0.23 g(acetic acid)/dm^3,9.4 % vol.,0.27 g/dm^3,24.0 mg/dm^3,3.38 ,False
0.4 g(acetic acid)/dm^3,8.7 % vol.,0.56 g/dm^3,40.0 mg/dm^3,3.14 ,False
0.46 g(acetic acid)/dm^3,11.0 % vol.,0.49 g/dm^3,5.0 mg/dm^3,3.21 ,False
0.51 g(acetic acid)/dm^3,9.2 % vol.,0.28 g/dm^3,23.0 mg/dm^3,3.42 ,False
0.41 g(acetic acid)/dm^3,10.1 % vol.,0.31 g/dm^3,26.0 mg/dm^3,3.38 ,False
0.21 g(acetic acid)/dm^3,10.4 % vol.,0.3 g/dm^3,14.0 mg/dm^3,2.96 ,False
0.27 g(acetic acid)/dm^3,9.5 % vol.,0.37 g/dm^3,58.0 mg/dm^3,3.19 ,False
0.16 g(acetic acid)/dm^3,10.8 % vol.,0.27 g/dm^3,39.0 mg/dm^3,3.15 ,False
0.42 g(acetic acid)/dm^3,12.3 % vol.,0.01 g/dm^3,25.0 mg/dm^3,3.38 ,True
0.21 g(acetic acid)/dm^3,11.4 % vol.,0.25 g/dm^3,26.0 mg/dm^3,3.31 ,False
0.58 g(acetic acid)/dm^3,9.7 % vol.,0.07 g/dm^3,34.0 mg/dm^3,3.34 ,False
0.26 g(acetic acid)/dm^3,11.3 % vol.,0.34 g/dm^3,16.0 mg/dm^3,3.4 ,False
0.6 g(acetic acid)/dm^3,9.8 % vol.,0.1 g/dm^3,14.0 mg/dm^3,3.15 ,False
0.24 g(acetic acid)/dm^3,10.1 % vol.,0.29 g/dm^3,17.0 mg/dm^3,3.36 ,False
0.265 g(acetic acid)/dm^3,10.2 % vol.,0.22 g/dm^3,54.0 mg/dm^3,3.25 ,False
0.21 g(acetic acid)/dm^3,9.3 % vol.,0.58 g/dm^3,62.0 mg/dm^3,3.01 ,False
0.26 g(acetic acid)/dm^3,9.3 % vol.,0.26 g/dm^3,22.0 mg/dm^3,3.09 ,False
0.29 g(acetic acid)/dm^3,12.4 % vol.,0.36 g/dm^3,35.0 mg/dm^3,3.27 ,False
0.3 g(acetic acid)/dm^3,9.5 % vol.,0.28 g/dm^3,36.0 mg/dm^3,3.22 ,False
0.19 g(acetic acid)/dm^3,11.4 % vol.,0.41 g/dm^3,38.0 mg/dm^3,2.92 ,False
0.21 g(acetic acid)/dm^3,8.8 % vol.,0.48 g/dm^3,31.0 mg/dm^3,2.95 ,False
0.3 g(acetic acid)/dm^3,9.3 % vol.,0.38 g/dm^3,60.0 mg/dm^3,3.18 ,True
0.24 g(acetic acid)/dm^3,11.0 % vol.,0.29 g/dm^3,37.0 mg/dm^3,3.27 ,True
0.24 g(acetic acid)/dm^3,10.3 % vol.,0.33 g/dm^3,46.0 mg/dm^3,3.16 ,False
0.825 g(acetic acid)/dm^3,10.7 % vol.,0.24 g/dm^3,5.0 mg/dm^3,3.37 ,False
0.29 g(acetic acid)/dm^3,11.9 % vol.,0.42 g/dm^3,19.0 mg/dm^3,3.28 ,False
0.5 g(acetic acid)/dm^3,10.9 % vol.,0.47 g/dm^3,23.0 mg/dm^3,3.21 ,False
0.25 g(acetic acid)/dm^3,10.5 % vol.,0.32 g/dm^3,27.0 mg/dm^3,3.26 ,False
0.41 g(acetic acid)/dm^3,13.3 % vol.,0.5 g/dm^3,12.0 mg/dm^3,3.34 ,False
0.3 g(acetic acid)/dm^3,10.9 % vol.,0.56 g/dm^3,46.0 mg/dm^3,3.31 ,False
0.2 g(acetic acid)/dm^3,10.0 % vol.,0.49 g/dm^3,46.0 mg/dm^3,3.09 ,True
0.23 g(acetic acid)/dm^3,10.2 % vol.,0.32 g/dm^3,25.0 mg/dm^3,3.39 ,True
0.56 g(acetic acid)/dm^3,11.2 % vol.,0.22 g/dm^3,15.0 mg/dm^3,3.4 ,False
0.14 g(acetic acid)/dm^3,10.0 % vol.,0.32 g/dm^3,48.0 mg/dm^3,3.04 ,False
0.28 g(acetic acid)/dm^3,10.7 % vol.,0.33 g/dm^3,32.0 mg/dm^3,3.39 ,True
0.675 g(acetic acid)/dm^3,9.2 % vol.,0.26 g/dm^3,11.0 mg/dm^3,3.31 ,False
0.42 g(acetic acid)/dm^3,12.3 % vol.,0.27 g/dm^3,23.0 mg/dm^3,3.78 ,False
0.23 g(acetic acid)/dm^3,10.1 % vol.,0.21 g/dm^3,815.4801984695168 mg/dm^3,3.36 ,True
0.54 g(acetic acid)/dm^3,9.4 % vol.,0.04 g/dm^3,7.0 mg/dm^3,3.69 ,False
0.2 g(acetic acid)/dm^3,10.8 % vol.,0.26 g/dm^3,36.0 mg/dm^3,3.53 ,False
0.41 g(acetic acid)/dm^3,10.5 % vol.,0.31 g/dm^3,18.0 mg/dm^3,3.13 ,False
0.31 g(acetic acid)/dm^3,11.0 % vol.,0.38 g/dm^3,19.0 mg/dm^3,3.17 ,True
0.24 g(acetic acid)/dm^3,10.4 % vol.,0.3 g/dm^3,72.0 mg/dm^3,2.99 ,False
0.675 g(acetic acid)/dm^3,9.55 % vol.,0.1 g/dm^3,4.0 mg/dm^3,3.31 ,False
0.56 g(acetic acid)/dm^3,10.0 % vol.,0.31 g/dm^3,15.0 mg/dm^3,3.11 ,False
0.4 g(acetic acid)/dm^3,11.2 % vol.,0.29 g/dm^3,27.0 mg/dm^3,3.12 ,False
0.29 g(acetic acid)/dm^3,14.0 % vol.,0.21 g/dm^3,12.0 mg/dm^3,3.39 ,True
0.34 g(acetic acid)/dm^3,9.3 % vol.,0.3 g/dm^3,51.0 mg/dm^3,3.19 ,False
0.19 g(acetic acid)/dm^3,8.7 % vol.,0.99 g/dm^3,45.0 mg/dm^3,3.09 ,False
0.27 g(acetic acid)/dm^3,10.3 % vol.,0.29 g/dm^3,28.0 mg/dm^3,3.54 ,False
0.89 g(acetic acid)/dm^3,10.2 % vol.,0.3 g/dm^3,7.0 mg/dm^3,2.99 ,False
0.2 g(acetic acid)/dm^3,11.8 % vol.,0.37 g/dm^3,28.0 mg/dm^3,3.14 ,False
0.29 g(acetic acid)/dm^3,8.9 % vol.,0.4 g/dm^3,36.0 mg/dm^3,2.93 ,False
0.41 g(acetic acid)/dm^3,9.5 % vol.,0.42 g/dm^3,6.0 mg/dm^3,3.19 ,False
0.23 g(acetic acid)/dm^3,11.9 % vol.,0.39 g/dm^3,41.0 mg/dm^3,3.19 ,True
0.22 g(acetic acid)/dm^3,9.8 % vol.,0.29 g/dm^3,24.0 mg/dm^3,3.29 ,False
0.25 g(acetic acid)/dm^3,9.4 % vol.,0.26 g/dm^3,52.5 mg/dm^3,3.08 ,False
0.2 g(acetic acid)/dm^3,10.5 % vol.,0.27 g/dm^3,19.0 mg/dm^3,3.04 ,True
0.6 g(acetic acid)/dm^3,9.9 % vol.,0.26 g/dm^3,31.0 mg/dm^3,3.21 ,False
0.285 g(acetic acid)/dm^3,8.9 % vol.,0.49 g/dm^3,57.0 mg/dm^3,3.08 ,False
0.23 g(acetic acid)/dm^3,9.2 % vol.,0.42 g/dm^3,35.0 mg/dm^3,3.04 ,False
0.31 g(acetic acid)/dm^3,9.1 % vol.,0.26 g/dm^3,47.0 mg/dm^3,3.26 ,False
0.18 g(acetic acid)/dm^3,9.0 % vol.,0.3 g/dm^3,19.0 mg/dm^3,3.0 ,True
0.22 g(acetic acid)/dm^3,10.5 % vol.,0.28 g/dm^3,29.0 mg/dm^3,3.11 ,False
0.645 g(acetic acid)/dm^3,9.2 % vol.,0.0 g/dm^3,15.0 mg/dm^3,3.37 ,False
0.155 g(acetic acid)/dm^3,9.9 % vol.,0.34 g/dm^3,73.5 mg/dm^3,3.18 ,True
0.18 g(acetic acid)/dm^3,11.9 % vol.,0.53 g/dm^3,42.0 mg/dm^3,3.11 ,False
0.22 g(acetic acid)/dm^3,9.7 % vol.,0.26 g/dm^3,18.0 mg/dm^3,3.12 ,False
0.21 g(acetic acid)/dm^3,10.5 % vol.,0.26 g/dm^3,61.0 mg/dm^3,3.02 ,True
0.26 g(acetic acid)/dm^3,11.2 % vol.,0.32 g/dm^3,31.0 mg/dm^3,3.17 ,False
0.39 g(acetic acid)/dm^3,9.8 % vol.,0.47 g/dm^3,6.0 mg/dm^3,3.3 ,False
0.55 g(acetic acid)/dm^3,11.2 % vol.,0.1 g/dm^3,39.0 mg/dm^3,3.52 ,False
0.24 g(acetic acid)/dm^3,9.5 % vol.,0.26 g/dm^3,47.0 mg/dm^3,3.12 ,False
0.17 g(acetic acid)/dm^3,11.4 % vol.,0.36 g/dm^3,38.0 mg/dm^3,3.05 ,False
0.42 g(acetic acid)/dm^3,10.98 % vol.,0.19 g/dm^3,28.0 mg/dm^3,3.23 ,False
0.27 g(acetic acid)/dm^3,9.9 % vol.,0.33 g/dm^3,19.0 mg/dm^3,3.22 ,False
0.33 g(acetic acid)/dm^3,13.0 % vol.,0.28 g/dm^3,38.0 mg/dm^3,3.19 ,False
0.27 g(acetic acid)/dm^3,9.4 % vol.,0.48 g/dm^3,60.0 mg/dm^3,3.2 ,False
0.42 g(acetic acid)/dm^3,10.4 % vol.,0.09 g/dm^3,34.0 mg/dm^3,3.41 ,False
0.42 g(acetic acid)/dm^3,11.7 % vol.,0.66 g/dm^3,12.0 mg/dm^3,3.24 ,False
0.38 g(acetic acid)/dm^3,9.3 % vol.,0.29 g/dm^3,25.0 mg/dm^3,3.25 ,False
0.28 g(acetic acid)/dm^3,8.9 % vol.,0.35 g/dm^3,63.0 mg/dm^3,3.08 ,False
0.31 g(acetic acid)/dm^3,9.8 % vol.,0.4 g/dm^3,39.0 mg/dm^3,3.14 ,False
0.45 g(acetic acid)/dm^3,10.8 % vol.,0.33 g/dm^3,20.0 mg/dm^3,3.24 ,False
0.6 g(acetic acid)/dm^3,9.3 % vol.,0.44 g/dm^3,50.0 mg/dm^3,3.19 ,False
0.33 g(acetic acid)/dm^3,12.2 % vol.,0.32 g/dm^3,39.0 mg/dm^3,3.06 ,False
0.25 g(acetic acid)/dm^3,8.9 % vol.,0.36 g/dm^3,35.0 mg/dm^3,3.04 ,True
0.5 g(acetic acid)/dm^3,8.8 % vol.,0.5 g/dm^3,48.0 mg/dm^3,3.16 ,False
0.28 g(acetic acid)/dm^3,11.5 % vol.,0.57 g/dm^3,50.0 mg/dm^3,3.17 ,False
0.25 g(acetic acid)/dm^3,10.0 % vol.,0.41 g/dm^3,37.0 mg/dm^3,3.36 ,False
0.4 g(acetic acid)/dm^3,11.3 % vol.,0.49 g/dm^3,34.0 mg/dm^3,3.26 ,False
0.32 g(acetic acid)/dm^3,12.2 % vol.,0.35 g/dm^3,24.0 mg/dm^3,3.17 ,False
0.27 g(acetic acid)/dm^3,9.9 % vol.,0.28 g/dm^3,21.0 mg/dm^3,3.15 ,False
0.16 g(acetic acid)/dm^3,9.3 % vol.,0.64 g/dm^3,69.0 mg/dm^3,3.15 ,True
0.35 g(acetic acid)/dm^3,10.9 % vol.,0.67 g/dm^3,10.0 mg/dm^3,3.19 ,False
0.14 g(acetic acid)/dm^3,8.6 % vol.,0.33 g/dm^3,53.0 mg/dm^3,3.25 ,False
0.41 g(acetic acid)/dm^3,10.5 % vol.,0.21 g/dm^3,29.0 mg/dm^3,3.42 ,False
0.42 g(acetic acid)/dm^3,9.5 % vol.,0.49 g/dm^3,19.0 mg/dm^3,3.02 ,False
0.4 g(acetic acid)/dm^3,9.4 % vol.,0.22 g/dm^3,24.0 mg/dm^3,3.22 ,False
0.26 g(acetic acid)/dm^3,10.5 % vol.,0.33 g/dm^3,44.0 mg/dm^3,3.12 ,False
0.725 g(acetic acid)/dm^3,9.3 % vol.,0.24 g/dm^3,31.0 mg/dm^3,3.32 ,False
0.6 g(acetic acid)/dm^3,9.5 % vol.,0.32 g/dm^3,13.0 mg/dm^3,3.45 ,False
0.35 g(acetic acid)/dm^3,8.8 % vol.,0.24 g/dm^3,46.0 mg/dm^3,3.12 ,False
0.28 g(acetic acid)/dm^3,9.2 % vol.,0.44 g/dm^3,49.0 mg/dm^3,3.15 ,False
0.21 g(acetic acid)/dm^3,10.1 % vol.,0.28 g/dm^3,46.0 mg/dm^3,3.23 ,False
0.295 g(acetic acid)/dm^3,10.0 % vol.,0.2 g/dm^3,18.0 mg/dm^3,3.21 ,False
0.67 g(acetic acid)/dm^3,8.7 % vol.,0.07 g/dm^3,9.0 mg/dm^3,3.11 ,False
0.655 g(acetic acid)/dm^3,9.6 % vol.,0.26 g/dm^3,5.0 mg/dm^3,3.25 ,False
0.47 g(acetic acid)/dm^3,10.6 % vol.,0.4 g/dm^3,8.0 mg/dm^3,3.56 ,False
0.24 g(acetic acid)/dm^3,9.4 % vol.,0.37 g/dm^3,59.0 mg/dm^3,3.2 ,False
0.67 g(acetic acid)/dm^3,9.5 % vol.,0.23 g/dm^3,17.0 mg/dm^3,3.32 ,False
0.78 g(acetic acid)/dm^3,11.3 % vol.,0.23 g/dm^3,5.0 mg/dm^3,3.37 ,False
0.35 g(acetic acid)/dm^3,9.5 % vol.,0.21 g/dm^3,46.0 mg/dm^3,3.16 ,False
0.12 g(acetic acid)/dm^3,11.9 % vol.,0.45 g/dm^3,10.0 mg/dm^3,3.41 ,False
0.45 g(acetic acid)/dm^3,12.7 % vol.,0.36 g/dm^3,50.0 mg/dm^3,3.07 ,True
0.58 g(acetic acid)/dm^3,9.2 % vol.,0.03 g/dm^3,27.0 mg/dm^3,3.02 ,False
0.25 g(acetic acid)/dm^3,10.9 % vol.,0.29 g/dm^3,19.0 mg/dm^3,3.4 ,False
0.27 g(acetic acid)/dm^3,11.2 % vol.,0.35 g/dm^3,36.0 mg/dm^3,3.09 ,False
0.44 g(acetic acid)/dm^3,12.0 % vol.,0.73 g/dm^3,38.0 mg/dm^3,3.17 ,False
0.25 g(acetic acid)/dm^3,8.9 % vol.,0.49 g/dm^3,67.0 mg/dm^3,3.16 ,False
0.22 g(acetic acid)/dm^3,11.0 % vol.,0.27 g/dm^3,36.0 mg/dm^3,3.38 ,True
0.285 g(acetic acid)/dm^3,9.2 % vol.,0.32 g/dm^3,32.0 mg/dm^3,3.0 ,False
0.13 g(acetic acid)/dm^3,9.6 % vol.,0.34 g/dm^3,40.0 mg/dm^3,3.21 ,False
0.22 g(acetic acid)/dm^3,11.4 % vol.,0.49 g/dm^3,26.0 mg/dm^3,3.25 ,False
0.56 g(acetic acid)/dm^3,9.5 % vol.,0.19 g/dm^3,17.0 mg/dm^3,3.32 ,False
0.22 g(acetic acid)/dm^3,10.8 % vol.,0.32 g/dm^3,40.0 mg/dm^3,3.2 ,False
0.22 g(acetic acid)/dm^3,9.1 % vol.,0.29 g/dm^3,39.0 mg/dm^3,3.05 ,False
0.28 g(acetic acid)/dm^3,10.2 % vol.,0.26 g/dm^3,44.0 mg/dm^3,3.32 ,False
0.22 g(acetic acid)/dm^3,8.6 % vol.,0.42 g/dm^3,45.0 mg/dm^3,3.21 ,True
0.4 g(acetic acid)/dm^3,10.5 % vol.,0.44 g/dm^3,11.0 mg/dm^3,3.53 ,False
0.19 g(acetic acid)/dm^3,9.6 % vol.,0.58 g/dm^3,51.0 mg/dm^3,3.12 ,False
0.34 g(acetic acid)/dm^3,10.4 % vol.,0.27 g/dm^3,25.0 mg/dm^3,3.01 ,False
0.33 g(acetic acid)/dm^3,12.5 % vol.,0.3 g/dm^3,34.0 mg/dm^3,3.25 ,True
0.17 g(acetic acid)/dm^3,11.9 % vol.,0.52 g/dm^3,21.0 mg/dm^3,3.14 ,True
0.28 g(acetic acid)/dm^3,10.7 % vol.,0.27 g/dm^3,26.0 mg/dm^3,3.2 ,False
0.28 g(acetic acid)/dm^3,12.1 % vol.,0.4 g/dm^3,36.0 mg/dm^3,3.21 ,True
0.25 g(acetic acid)/dm^3,9.7 % vol.,0.13 g/dm^3,49.0 mg/dm^3,2.96 ,False
0.17 g(acetic acid)/dm^3,9.5 % vol.,0.36 g/dm^3,26.0 mg/dm^3,3.09 ,False
0.51 g(acetic acid)/dm^3,10.8 % vol.,0.24 g/dm^3,10.0 mg/dm^3,3.05 ,False
0.34 g(acetic acid)/dm^3,12.6 % vol.,0.43 g/dm^3,29.0 mg/dm^3,3.23 ,False
0.645 g(acetic acid)/dm^3,10.0 % vol.,0.25 g/dm^3,8.0 mg/dm^3,3.28 ,False
0.695 g(acetic acid)/dm^3,10.2 % vol.,0.06 g/dm^3,9.0 mg/dm^3,3.44 ,False
0.15 g(acetic acid)/dm^3,10.0 % vol.,0.38 g/dm^3,19.0 mg/dm^3,3.24 ,False
0.16 g(acetic acid)/dm^3,10.0 % vol.,0.22 g/dm^3,41.0 mg/dm^3,3.49 ,False
0.26 g(acetic acid)/dm^3,10.0 % vol.,0.26 g/dm^3,49.0 mg/dm^3,3.41 ,False
0.21 g(acetic acid)/dm^3,11.3 % vol.,0.29 g/dm^3,39.0 mg/dm^3,3.0 ,False
0.37 g(acetic acid)/dm^3,12.6 % vol.,0.15 g/dm^3,27.0 mg/dm^3,3.3 ,True
0.3 g(acetic acid)/dm^3,11.6 % vol.,0.22 g/dm^3,33.0 mg/dm^3,3.13 ,False
0.24 g(acetic acid)/dm^3,9.0 % vol.,0.29 g/dm^3,55.0 mg/dm^3,3.03 ,False
0.17 g(acetic acid)/dm^3,10.8 % vol.,0.41 g/dm^3,24.0 mg/dm^3,3.19 ,False
0.25 g(acetic acid)/dm^3,11.4 % vol.,0.37 g/dm^3,10.0 mg/dm^3,3.08 ,False
0.25 g(acetic acid)/dm^3,9.9 % vol.,0.27 g/dm^3,75.0 mg/dm^3,3.19 ,False
0.18 g(acetic acid)/dm^3,10.5 % vol.,0.29 g/dm^3,39.0 mg/dm^3,3.49 ,False
0.23 g(acetic acid)/dm^3,12.4 % vol.,0.34 g/dm^3,24.0 mg/dm^3,3.14 ,True
0.19 g(acetic acid)/dm^3,9.4 % vol.,0.25 g/dm^3,34.0 mg/dm^3,3.3 ,True
0.32 g(acetic acid)/dm^3,12.6 % vol.,0.27 g/dm^3,37.0 mg/dm^3,3.15 ,True
0.23 g(acetic acid)/dm^3,12.1 % vol.,0.36 g/dm^3,31.0 mg/dm^3,3.35 ,True
0.59 g(acetic acid)/dm^3,9.7 % vol.,0.14 g/dm^3,25.0 mg/dm^3,3.14 ,False
0.19 g(acetic acid)/dm^3,8.9 % vol.,0.26 g/dm^3,50.0 mg/dm^3,3.3 ,False
0.21 g(acetic acid)/dm^3,10.0 % vol.,0.32 g/dm^3,28.0 mg/dm^3,3.2 ,True
0.27 g(acetic acid)/dm^3,10.0 % vol.,0.12 g/dm^3,87.0 mg/dm^3,3.18 ,False
0.3 g(acetic acid)/dm^3,12.6 % vol.,0.42 g/dm^3,19.0 mg/dm^3,3.1 ,True
0.19 g(acetic acid)/dm^3,9.1 % vol.,0.33 g/dm^3,63.0 mg/dm^3,2.86 ,False
0.28 g(acetic acid)/dm^3,10.5 % vol.,0.29 g/dm^3,34.0 mg/dm^3,3.48 ,True
0.31 g(acetic acid)/dm^3,9.1 % vol.,0.26 g/dm^3,47.0 mg/dm^3,3.26 ,False
0.22 g(acetic acid)/dm^3,9.0 % vol.,0.35 g/dm^3,38.0 mg/dm^3,3.24 ,False
0.57 g(acetic acid)/dm^3,9.3 % vol.,0.23 g/dm^3,17.0 mg/dm^3,3.26 ,False
0.24 g(acetic acid)/dm^3,9.8 % vol.,0.18 g/dm^3,33.0 mg/dm^3,3.2 ,False
0.29 g(acetic acid)/dm^3,11.2 % vol.,0.32 g/dm^3,18.0 mg/dm^3,3.05 ,False
0.36 g(acetic acid)/dm^3,12.4 % vol.,0.35 g/dm^3,37.0 mg/dm^3,3.0 ,True
0.16 g(acetic acid)/dm^3,8.7 % vol.,0.3 g/dm^3,33.0 mg/dm^3,2.9 ,True
0.25 g(acetic acid)/dm^3,12.9 % vol.,0.28 g/dm^3,54.0 mg/dm^3,3.43 ,True
0.58 g(acetic acid)/dm^3,11.7 % vol.,0.2 g/dm^3,8.0 mg/dm^3,3.38 ,False
